roadSegment_id,roadSegment_type,lane_id,lane_roadid,lane_num,lane_length,lane_dir,lane_type,point_id,point_lane_id,point_left_lane_id,point_right_lane_id,point_cost,point_x,point_y,
1,0,1,1,0,0,0.778886,0,1,1,0,12411,0,-1916.36,-1749.61,
1,0,1,1,0,0,0.778886,0,2,1,0,12411,0,-1915.79,-1748.78,
1,0,1,1,0,0,0.778886,0,3,1,0,12411,0,-1915.22,-1747.96,
1,0,1,1,0,0,0.778886,0,4,1,0,12411,0,-1914.64,-1747.15,
1,0,1,1,0,0,0.778886,0,5,1,0,12411,0,-1914.06,-1746.33,
1,0,1,1,0,0,0.778886,0,6,1,0,12411,0,-1913.48,-1745.51,
1,0,1,1,0,0,0.778886,0,7,1,0,12411,0,-1912.9,-1744.7,
1,0,1,1,0,0,0.778886,0,8,1,0,12411,0,-1912.32,-1743.89,
1,0,1,1,0,0,0.778886,0,9,1,0,12411,0,-1911.73,-1743.08,
1,0,1,1,0,0,0.778886,0,10,1,0,12411,0,-1911.14,-1742.27,
1,0,1,1,0,0,0.778886,0,11,1,0,12411,0,-1910.55,-1741.47,
1,0,1,1,0,0,0.778886,0,12,1,0,12411,0,-1909.95,-1740.66,
1,0,1,1,0,0,0.778886,0,13,1,0,12411,0,-1909.35,-1739.86,
1,0,1,1,0,0,0.778886,0,14,1,0,12411,0,-1908.75,-1739.06,
1,0,1,1,0,0,0.778886,0,15,1,0,12411,0,-1908.15,-1738.26,
1,0,1,1,0,0,0.778886,0,16,1,0,12411,0,-1907.55,-1737.47,
1,0,1,1,0,0,0.778886,0,17,1,0,12411,0,-1906.94,-1736.68,
1,0,1,1,0,0,0.778886,0,18,1,0,12411,0,-1906.33,-1735.88,
1,0,1,1,0,0,0.778886,0,19,1,0,12411,0,-1905.71,-1735.09,
1,0,1,1,0,0,0.778886,0,20,1,0,12411,0,-1905.1,-1734.3,
1,0,1,1,0,0,0.778886,0,21,1,0,12411,0,-1904.48,-1733.52,
1,0,1,1,0,0,0.778886,0,22,1,0,12411,0,-1903.86,-1732.73,
1,0,1,1,0,0,0.778886,0,23,1,0,12411,0,-1903.24,-1731.95,
1,0,1,1,0,0,0.778886,0,24,1,0,12411,0,-1902.61,-1731.17,
1,0,1,1,0,0,0.778886,0,25,1,0,12411,0,-1901.98,-1730.39,
1,0,1,1,0,0,0.778886,0,26,1,0,12411,0,-1901.35,-1729.62,
1,0,1,1,0,0,0.778886,0,27,1,0,12411,0,-1900.72,-1728.84,
1,0,1,1,0,0,0.778886,0,28,1,0,12411,0,-1900.08,-1728.07,
1,0,1,1,0,0,0.778886,0,29,1,0,12411,0,-1899.45,-1727.3,
1,0,1,1,0,0,0.778886,0,30,1,0,12411,0,-1898.81,-1726.53,
1,0,1,1,0,0,0.778886,0,31,1,0,12411,0,-1898.16,-1725.77,
1,0,1,1,0,0,0.778886,0,32,1,0,12411,0,-1897.52,-1725,
1,0,1,1,0,0,0.778886,0,33,1,0,12411,0,-1896.87,-1724.24,
1,0,1,1,0,0,0.778886,0,34,1,0,12411,0,-1896.22,-1723.48,
1,0,1,1,0,0,0.778886,0,35,1,0,12411,0,-1895.57,-1722.72,
1,0,1,1,0,0,0.778886,0,36,1,0,12411,0,-1894.91,-1721.97,
1,0,1,1,0,0,0.778886,0,37,1,0,12411,0,-1894.26,-1721.21,
1,0,1,1,0,0,0.778886,0,38,1,0,12411,0,-1893.6,-1720.46,
1,0,1,1,0,0,0.778886,0,39,1,0,12411,0,-1892.93,-1719.71,
1,0,1,1,0,0,0.778886,0,40,1,0,12411,0,-1892.27,-1718.96,
1,0,1,1,0,0,0.778886,0,41,1,0,12411,0,-1891.6,-1718.22,
1,0,1,1,0,0,0.778886,0,42,1,0,12411,0,-1890.93,-1717.48,
1,0,1,1,0,0,0.778886,0,43,1,0,12411,0,-1890.26,-1716.74,
1,0,1,1,0,0,0.778886,0,44,1,0,12411,0,-1889.59,-1716,
1,0,1,1,0,0,0.778886,0,45,1,0,12411,0,-1888.91,-1715.26,
1,0,1,1,0,0,0.778886,0,46,1,0,12411,0,-1888.23,-1714.53,
1,0,1,1,0,0,0.778886,0,47,1,0,12411,0,-1887.55,-1713.79,
1,0,1,1,0,0,0.778886,0,48,1,0,12411,0,-1886.87,-1713.06,
1,0,1,1,0,0,0.778886,0,49,1,0,12411,0,-1886.18,-1712.34,
1,0,1,1,0,0,0.778886,0,50,1,0,12411,0,-1885.49,-1711.61,
1,0,1,1,0,0,0.778886,0,51,1,0,12411,0,-1884.81,-1710.89,
1,0,1,1,0,0,0.778886,0,52,1,0,12411,0,-1884.11,-1710.17,
1,0,1,1,0,0,0.778886,0,53,1,0,12411,0,-1883.42,-1709.45,
1,0,1,1,0,0,0.778886,0,54,1,0,12411,0,-1882.72,-1708.73,
1,0,1,1,0,0,0.778886,0,55,1,0,12411,0,-1882.02,-1708.01,
1,0,1,1,0,0,0.778886,0,56,1,0,12411,0,-1881.32,-1707.3,
1,0,1,1,0,0,0.778886,0,57,1,0,12411,0,-1880.62,-1706.59,
1,0,1,1,0,0,0.778886,0,58,1,0,12411,0,-1879.91,-1705.88,
1,0,1,1,0,0,0.778886,0,59,1,0,12411,0,-1879.2,-1705.18,
1,0,1,1,0,0,0.778886,0,60,1,0,12411,0,-1878.49,-1704.48,
1,0,1,1,0,0,0.778886,0,61,1,0,12411,0,-1877.78,-1703.77,
1,0,1,1,0,0,0.778886,0,62,1,0,12411,0,-1877.06,-1703.07,
1,0,1,1,0,0,0.778886,0,63,1,0,12411,0,-1876.34,-1702.38,
1,0,1,1,0,0,0.778886,0,64,1,0,12411,0,-1875.62,-1701.68,
1,0,1,1,0,0,0.778886,0,65,1,0,12411,0,-1874.9,-1700.99,
1,0,1,1,0,0,0.778886,0,66,1,0,12411,0,-1874.18,-1700.3,
1,0,1,1,0,0,0.778886,0,67,1,0,12411,0,-1873.45,-1699.62,
1,0,1,1,0,0,0.778886,0,68,1,0,12411,0,-1872.72,-1698.93,
1,0,1,1,0,0,0.778886,0,69,1,0,12411,0,-1871.99,-1698.25,
1,0,1,1,0,0,0.778886,0,70,1,0,12411,0,-1871.26,-1697.57,
1,0,1,1,0,0,0.778886,0,71,1,0,12411,0,-1870.52,-1696.89,
1,0,1,1,0,0,0.778886,0,72,1,0,12411,0,-1869.79,-1696.21,
