roadSegment_id,roadSegment_type,lane_id,lane_roadid,lane_num,lane_length,lane_dir,lane_type,point_id,point_lane_id,point_left_lane_id,point_right_lane_id,point_cost,
1,0,1,1,0,0,0.778886,0,1,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,2,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,3,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,4,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,5,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,6,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,7,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,8,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,9,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,10,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,11,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,12,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,13,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,14,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,15,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,16,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,17,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,18,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,19,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,20,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,21,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,22,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,23,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,24,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,25,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,26,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,27,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,28,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,29,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,30,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,31,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,32,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,33,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,34,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,35,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,36,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,37,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,38,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,39,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,40,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,41,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,42,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,43,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,44,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,45,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,46,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,47,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,48,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,49,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,50,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,51,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,52,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,53,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,54,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,55,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,56,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,57,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,58,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,59,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,60,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,61,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,62,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,63,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,64,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,65,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,66,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,67,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,68,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,69,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,70,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,71,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,72,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,73,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,75,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,76,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,77,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,78,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,79,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,80,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,82,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,83,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,84,1,0,12411,0,
1,0,1,1,0,0,0.778886,0,85,1,0,12411,0,
